id,target
167,"a^2+b^2=c^2"
168,"a^2+b^2=c^2"
169,"a^2+b^2=c^2"
170,"a^2+b^2=c^2"
171,"a^2+b^2=c^2"
172,"a^2+b^2=c^2"
173,"a^2+b^2=c^2"
174,"a^2+b^2=c^2"
175,"a^2+b^2=c^2"
176,"a^2+b^2=c^2"
177,"a^2+b^2=c^2"
178,"a^2+b^2=c^2"
179,"a^2+b^2=c^2"
